"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","173","POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","173","GET /todos (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","242","DELETE /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","4478","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3454","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3217","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","166","PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5062","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","4724","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","174","POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
